TransactionID,CustomerID,TransactionDate,TransactionType,Amount,ProductCategory,ProductSubcategory,BranchCity,BranchLat,BranchLong,Channel,Currency,CreditCardFees,InsuranceFees,LatePaymentAmount,CustomerScore,MonthlyIncome,CustomerSegment,RecommendedOffer
30,5658,2024-11-09 00:00:00,Loan Payment,6924.048107,Checking Account,Gold,Madrid,40.4168,-3.7038,Branch,EUR,0,0,83.44,511,2730.56,Low Income Segment,Financial Literacy Program Access
31,2899,2024-10-19 00:00:00,Loan Payment,645.0363944,Savings Account,Standard,Malaga,36.7213,-4.4214,Mobile,EUR,0,0,163.57,713,3398.28,Middle Income Segment,Mid-tier Savings Booster
32,8734,2023-08-29 00:00:00,Deposit,9176.159124,Loan,Business,Madrid,40.4168,-3.7038,Online,EUR,0,42.32,0,828,6072.51,Middle Income Segment,Personal Loan Cashback Offer
33,2267,2024-07-19 00:00:00,Card Payment,915.9630528,Savings Account,Standard,Barcelona,41.3874,2.1686,Mobile,EUR,0,0,0,749,6377.72,Middle Income Segment,Mid-tier Savings Booster
34,2528,2024-02-13 00:00:00,Card Payment,4885.108633,Credit Card,Student,Madrid,40.4168,-3.7038,ATM,USD,10.31,0,0,587,5057.74,Middle Income Segment,Gold Card with Travel Benefits
35,4556,2024-11-22 00:00:00,Withdrawal,1027.551017,Savings Account,Gold,Madrid,40.4168,-3.7038,Online,EUR,0,0,0,545,7426.07,High Income Segment,Premium Investment Services
36,4890,2023-03-17 00:00:00,Transfer,2603.190122,Checking Account,Student,Madrid,40.4168,-3.7038,Branch,EUR,0,0,0,573,6668.18,Middle Income Segment,Mid-tier Savings Booster
37,9838,2023-06-01 00:00:00,Loan Payment,1872.87385,Mortgage,Gold,Madrid,40.4168,-3.7038,Mobile,EUR,0,0,97.86,437,3594.46,Middle Income Segment,Mid-tier Savings Booster
38,6393,2023-09-09 00:00:00,Fee,6909.059841,Loan,Business,Seville,37.3891,-5.9845,ATM,EUR,0,75.77,0,387,1489.97,Low Income Segment,Financial Literacy Program Access
39,9792,2023-08-22 00:00:00,Fee,4550.103982,Loan,Business,Bilbao,43.263,-2.935,Online,USD,0,96.66,0,833,9249.61,High Income Segment,Premium Investment Services
40,9433,2024-11-27 00:00:00,Withdrawal,5455.139748,Mortgage,Student,Barcelona,41.3874,2.1686,Branch,EUR,0,0,0,682,6915.34,Middle Income Segment,Mid-tier Savings Booster
41,8513,2023-12-24 00:00:00,Transfer,490.8950552,Loan,Gold,Murcia,37.9847,-1.1287,Online,EUR,0,58.58,0,575,4473.92,Middle Income Segment,Personal Loan Cashback Offer
42,3612,2023-01-23 00:00:00,Deposit,1068.250561,Checking Account,Gold,Malaga,36.7213,-4.4214,Online,EUR,0,0,0,588,8516.75,High Income Segment,Premium Investment Services
43,8041,2024-05-30 00:00:00,Transfer,5519.5363,Checking Account,Business,Madrid,40.4168,-3.7038,Mobile,EUR,0,0,0,689,5185.09,Middle Income Segment,Mid-tier Savings Booster
44,7235,2025-05-01 00:00:00,Fee,4366.090506,Mortgage,Platinum,Zaragoza,41.6488,-0.8891,Mobile,EUR,0,0,0,605,8839.3,High Income Segment,Exclusive Platinum Package
45,6486,2024-07-31 00:00:00,Fee,3451.563165,Checking Account,Student,Malaga,36.7213,-4.4214,ATM,EUR,0,0,0,835,5847.99,Middle Income Segment,Mid-tier Savings Booster
46,8099,2024-02-06 00:00:00,Deposit,7466.107323,Credit Card,Student,Seville,37.3891,-5.9845,ATM,EUR,19.86,0,0,824,7713.93,High Income Segment,Exclusive Platinum Package
47,1775,2024-02-17 00:00:00,Deposit,3472.508337,Checking Account,Gold,Bilbao,43.263,-2.935,Mobile,EUR,0,0,0,423,3926.32,Middle Income Segment,Mid-tier Savings Booster
48,9226,2025-04-09 00:00:00,Fee,2810.863397,Loan,Standard,Barcelona,41.3874,2.1686,Branch,EUR,0,15.68,0,554,1261.38,Low Income Segment,Financial Literacy Program Access
49,4152,2023-10-19 00:00:00,Loan Payment,8199.032473,Mortgage,Business,Malaga,36.7213,-4.4214,Online,EUR,0,0,182.81,691,5875.14,Middle Income Segment,Mid-tier Savings Booster
50,2585,2023-01-28 00:00:00,Loan Payment,7838.77446,Credit Card,Business,Madrid,40.4168,-3.7038,ATM,USD,2.62,0,145.39,445,6093.29,Middle Income Segment,Gold Card with Travel Benefits
51,4943,2023-11-30 00:00:00,Deposit,4679.070333,Checking Account,Platinum,Murcia,37.9847,-1.1287,Online,EUR,0,0,0,424,5418.41,Middle Income Segment,Mid-tier Savings Booster
52,8555,2024-10-17 00:00:00,Card Payment,4115.585229,Credit Card,Standard,Madrid,40.4168,-3.7038,Mobile,EUR,8.14,0,0,642,9171.04,High Income Segment,Exclusive Platinum Package
53,4073,2024-11-23 00:00:00,Loan Payment,630.98502,Savings Account,Standard,Zaragoza,41.6488,-0.8891,Online,EUR,0,0,175.22,330,6513.28,Middle Income Segment,Mid-tier Savings Booster
54,2021,2023-08-17 00:00:00,Deposit,1244.342224,Savings Account,Standard,Murcia,37.9847,-1.1287,Branch,EUR,0,0,0,593,1715.94,Low Income Segment,No-Fee Basic Account
55,4843,2024-06-26 00:00:00,Transfer,9254.792206,Credit Card,Platinum,Madrid,40.4168,-3.7038,Mobile,EUR,45.25,0,0,389,6062.96,Middle Income Segment,Gold Card with Travel Benefits
56,8989,2025-02-21 00:00:00,Transfer,3850.964442,Savings Account,Business,Zaragoza,41.6488,-0.8891,Branch,EUR,0,0,0,561,3119.93,Middle Income Segment,Mid-tier Savings Booster
57,7873,2025-04-17 00:00:00,Transfer,441.3637935,Savings Account,Standard,Malaga,36.7213,-4.4214,ATM,EUR,0,0,0,747,4936.7,Middle Income Segment,Mid-tier Savings Booster
58,6675,2025-02-10 00:00:00,Deposit,32.46730405,Savings Account,Business,Valencia,39.4699,-0.3763,ATM,EUR,0,0,0,746,6458.44,Middle Income Segment,Mid-tier Savings Booster
59,1161,2023-02-19 00:00:00,Deposit,2626.019545,Mortgage,Business,Seville,37.3891,-5.9845,Branch,EUR,0,0,0,467,6954.48,Middle Income Segment,Mid-tier Savings Booster
60,5297,2024-01-08 00:00:00,Loan Payment,14064.72431,Mortgage,Platinum,Bilbao,43.263,-2.935,Online,EUR,0,0,166.84,436,8635.11,High Income Segment,Exclusive Platinum Package
61,1995,2024-03-15 00:00:00,Loan Payment,2895.366238,Savings Account,Business,Barcelona,41.3874,2.1686,Mobile,EUR,0,0,62.05,724,5585.22,Middle Income Segment,Mid-tier Savings Booster
62,8629,2025-02-12 00:00:00,Loan Payment,10415.14268,Loan,Gold,Malaga,36.7213,-4.4214,ATM,EUR,0,90.65,164.68,431,2884.65,Low Income Segment,Financial Literacy Program Access
63,2016,2023-07-04 00:00:00,Withdrawal,2323.240365,Savings Account,Business,Zaragoza,41.6488,-0.8891,ATM,EUR,0,0,0,832,3207.61,Middle Income Segment,Mid-tier Savings Booster
64,8869,2025-02-26 00:00:00,Deposit,4124.180621,Savings Account,Gold,Malaga,36.7213,-4.4214,Online,EUR,0,0,0,363,2019.63,Low Income Segment,No-Fee Basic Account
65,7439,2023-05-02 00:00:00,Card Payment,173.9986123,Savings Account,Standard,Barcelona,41.3874,2.1686,ATM,USD,0,0,0,546,1794.71,Low Income Segment,No-Fee Basic Account
66,8892,2023-09-15 00:00:00,Transfer,5306.685308,Loan,Gold,Seville,37.3891,-5.9845,Branch,EUR,0,76.68,0,757,4758.75,Middle Income Segment,Personal Loan Cashback Offer
67,7863,2023-09-09 00:00:00,Transfer,4696.096092,Loan,Standard,Zaragoza,41.6488,-0.8891,Online,EUR,0,56.99,0,654,1302.49,Low Income Segment,Financial Literacy Program Access
68,8916,2023-11-23 00:00:00,Withdrawal,4896.108358,Savings Account,Gold,Seville,37.3891,-5.9845,ATM,EUR,0,0,0,510,5617.08,Middle Income Segment,Mid-tier Savings Booster
69,9529,2024-09-10 00:00:00,Withdrawal,2348.533949,Checking Account,Gold,Madrid,40.4168,-3.7038,Online,EUR,0,0,0,704,4574.97,Middle Income Segment,Mid-tier Savings Booster
70,1878,2025-02-10 00:00:00,Transfer,4083.688444,Credit Card,Standard,Barcelona,41.3874,2.1686,ATM,EUR,40.31,0,0,511,7374.19,High Income Segment,Exclusive Platinum Package
71,5887,2023-12-09 00:00:00,Deposit,11309.65665,Mortgage,Platinum,Madrid,40.4168,-3.7038,Online,EUR,0,0,0,444,5453.38,Middle Income Segment,Mid-tier Savings Booster
72,5859,2023-01-24 00:00:00,Transfer,8615.672956,Credit Card,Business,Seville,37.3891,-5.9845,ATM,EUR,44.64,0,0,770,1835.64,Low Income Segment,Financial Literacy Program Access
73,7331,2024-03-29 00:00:00,Transfer,13089.71897,Mortgage,Gold,Zaragoza,41.6488,-0.8891,ATM,EUR,0,0,0,783,3936.14,Middle Income Segment,Mid-tier Savings Booster
74,9571,2024-08-26 00:00:00,Card Payment,3864.744055,Credit Card,Student,Seville,37.3891,-5.9845,Branch,EUR,48.22,0,0,643,5948.17,Middle Income Segment,Gold Card with Travel Benefits
75,9684,2023-05-02 00:00:00,Withdrawal,11778.27789,Loan,Platinum,Seville,37.3891,-5.9845,Mobile,EUR,0,97.73,0,736,8247.87,High Income Segment,Premium Investment Services
76,8208,2024-04-24 00:00:00,Withdrawal,3261.470132,Savings Account,Business,Bilbao,43.263,-2.935,Online,EUR,0,0,0,444,3618.49,Middle Income Segment,Mid-tier Savings Booster
77,6276,2024-04-07 00:00:00,Loan Payment,12684.05405,Mortgage,Platinum,Bilbao,43.263,-2.935,Mobile,EUR,0,0,59.06,510,1871.71,Low Income Segment,Financial Literacy Program Access
78,3062,2023-03-21 00:00:00,Withdrawal,4620.697431,Savings Account,Platinum,Madrid,40.4168,-3.7038,Mobile,EUR,0,0,0,661,3752.08,Middle Income Segment,Mid-tier Savings Booster
79,1064,2023-03-27 00:00:00,Card Payment,1169.032445,Savings Account,Standard,Seville,37.3891,-5.9845,Online,EUR,0,0,0,543,7236.44,High Income Segment,Premium Investment Services
80,9006,2024-12-23 00:00:00,Card Payment,6204.46601,Loan,Student,Madrid,40.4168,-3.7038,Branch,EUR,0,98.42,0,488,6425.02,Middle Income Segment,Personal Loan Cashback Offer
81,3568,2023-01-20 00:00:00,Transfer,8764.260517,Mortgage,Business,Madrid,40.4168,-3.7038,ATM,EUR,0,0,0,329,7358.47,High Income Segment,Exclusive Platinum Package
82,6463,2024-01-14 00:00:00,Card Payment,6258.87124,Checking Account,Platinum,Zaragoza,41.6488,-0.8891,Branch,EUR,0,0,0,635,6110.31,Middle Income Segment,Mid-tier Savings Booster
83,3027,2024-05-18 00:00:00,Loan Payment,4988.477637,Loan,Standard,Zaragoza,41.6488,-0.8891,Online,USD,0,85.74,73.01,818,8831.07,High Income Segment,Premium Investment Services
84,3695,2023-09-09 00:00:00,Transfer,1053.673504,Savings Account,Business,Bilbao,43.263,-2.935,Mobile,EUR,0,0,0,560,7952.06,High Income Segment,Premium Investment Services
85,6258,2025-03-15 00:00:00,Deposit,11077.94817,Mortgage,Standard,Valencia,39.4699,-0.3763,Branch,USD,0,0,0,660,8832.24,High Income Segment,Exclusive Platinum Package
86,6618,2023-09-12 00:00:00,Deposit,7359.725739,Loan,Business,Bilbao,43.263,-2.935,ATM,EUR,0,95.35,0,575,6098.89,Middle Income Segment,Personal Loan Cashback Offer
87,7736,2024-08-25 00:00:00,Withdrawal,11154.91219,Loan,Platinum,Madrid,40.4168,-3.7038,Branch,EUR,0,41.33,0,809,2952.17,Low Income Segment,Financial Literacy Program Access
88,1391,2023-10-26 00:00:00,Loan Payment,5110.551794,Checking Account,Gold,Bilbao,43.263,-2.935,Branch,USD,0,0,124.59,472,3676.52,Middle Income Segment,Mid-tier Savings Booster
89,6892,2023-01-06 00:00:00,Card Payment,174.2047693,Credit Card,Student,Murcia,37.9847,-1.1287,Branch,EUR,6.25,0,0,454,9949.31,High Income Segment,Exclusive Platinum Package
90,4561,2025-03-25 00:00:00,Fee,14403.51844,Mortgage,Gold,Seville,37.3891,-5.9845,Mobile,EUR,0,0,0,570,5640.03,Middle Income Segment,Mid-tier Savings Booster
91,7184,2023-06-05 00:00:00,Deposit,8843.364133,Mortgage,Gold,Seville,37.3891,-5.9845,ATM,EUR,0,0,0,529,2879.46,Low Income Segment,Financial Literacy Program Access
92,4099,2023-11-10 00:00:00,Card Payment,8884.532582,Mortgage,Platinum,Murcia,37.9847,-1.1287,Online,USD,0,0,0,364,3740.15,Middle Income Segment,Mid-tier Savings Booster
93,7278,2025-03-29 00:00:00,Deposit,13549.26196,Mortgage,Standard,Barcelona,41.3874,2.1686,Online,USD,0,0,0,839,2850.57,Low Income Segment,Financial Literacy Program Access
94,9392,2024-03-12 00:00:00,Deposit,6496.194638,Credit Card,Student,Valencia,39.4699,-0.3763,Mobile,EUR,44.32,0,0,545,9661.93,High Income Segment,Exclusive Platinum Package
95,4104,2023-09-13 00:00:00,Deposit,5957.913423,Loan,Gold,Bilbao,43.263,-2.935,Online,USD,0,65.65,0,755,5414.57,Middle Income Segment,Personal Loan Cashback Offer
96,8215,2024-07-23 00:00:00,Withdrawal,1343.182044,Loan,Standard,Valencia,39.4699,-0.3763,Online,EUR,0,91.45,0,326,5306.45,Middle Income Segment,Personal Loan Cashback Offer
97,3454,2024-01-19 00:00:00,Loan Payment,9411.918843,Credit Card,Student,Barcelona,41.3874,2.1686,Online,EUR,23.11,0,1.07,629,5163.5,Middle Income Segment,Gold Card with Travel Benefits
98,9996,2024-03-02 00:00:00,Deposit,985.9744394,Loan,Platinum,Seville,37.3891,-5.9845,Online,USD,0,97.39,0,424,7744.14,High Income Segment,Premium Investment Services
99,3731,2024-10-07 00:00:00,Card Payment,1673.862323,Credit Card,Student,Madrid,40.4168,-3.7038,ATM,EUR,5.38,0,0,797,2442.28,Low Income Segment,Financial Literacy Program Access
100,9154,2023-09-12 00:00:00,Card Payment,8017.889437,Credit Card,Business,Bilbao,43.263,-2.935,Online,EUR,21.5,0,0,407,2025.61,Low Income Segment,Financial Literacy Program Access
101,6056,2024-06-23 00:00:00,Withdrawal,6095.400294,Loan,Platinum,Malaga,36.7213,-4.4214,Online,EUR,0,29.84,0,447,2550.53,Low Income Segment,Financial Literacy Program Access
102,9110,2023-04-01 00:00:00,Loan Payment,2223.654275,Loan,Gold,Murcia,37.9847,-1.1287,Online,EUR,0,78.06,158.43,353,4587.56,Middle Income Segment,Personal Loan Cashback Offer
103,4840,2024-02-09 00:00:00,Loan Payment,2806.01726,Credit Card,Business,Zaragoza,41.6488,-0.8891,Branch,EUR,11.45,0,115.8,632,6515.67,Middle Income Segment,Gold Card with Travel Benefits
104,2028,2025-01-28 00:00:00,Fee,7751.273232,Checking Account,Standard,Seville,37.3891,-5.9845,Online,EUR,0,0,0,568,8404.27,High Income Segment,Premium Investment Services
105,8385,2023-12-02 00:00:00,Transfer,2915.203766,Savings Account,Gold,Barcelona,41.3874,2.1686,Mobile,EUR,0,0,0,425,3015.96,Middle Income Segment,Mid-tier Savings Booster
106,1502,2024-05-16 00:00:00,Deposit,5992.92216,Mortgage,Business,Madrid,40.4168,-3.7038,Branch,EUR,0,0,0,846,7179.39,High Income Segment,Exclusive Platinum Package
107,7910,2024-08-12 00:00:00,Withdrawal,8571.745184,Credit Card,Platinum,Seville,37.3891,-5.9845,ATM,EUR,11.28,0,0,713,5022.64,Middle Income Segment,Gold Card with Travel Benefits
108,7938,2024-08-28 00:00:00,Loan Payment,5962.569575,Loan,Business,Murcia,37.9847,-1.1287,Mobile,EUR,0,84.77,50.65,480,8514.54,High Income Segment,Premium Investment Services
109,5488,2023-11-05 00:00:00,Fee,3018.779873,Credit Card,Business,Seville,37.3891,-5.9845,Online,EUR,40.07,0,0,576,2071.52,Low Income Segment,Financial Literacy Program Access
110,1206,2024-02-12 00:00:00,Transfer,2049.427257,Loan,Gold,Seville,37.3891,-5.9845,Branch,EUR,0,65.53,0,660,8679.8,High Income Segment,Premium Investment Services
111,6134,2024-12-17 00:00:00,Loan Payment,7284.370961,Credit Card,Business,Bilbao,43.263,-2.935,Branch,EUR,25.16,0,174.11,722,1124.06,Low Income Segment,Financial Literacy Program Access
112,6977,2025-02-08 00:00:00,Loan Payment,7407.963479,Loan,Student,Bilbao,43.263,-2.935,Mobile,EUR,0,19.68,93.13,432,2928.71,Low Income Segment,Financial Literacy Program Access
113,8721,2024-08-18 00:00:00,Deposit,727.2481883,Checking Account,Gold,Zaragoza,41.6488,-0.8891,Online,EUR,0,0,0,450,6983.29,Middle Income Segment,Mid-tier Savings Booster
114,8035,2023-06-15 00:00:00,Transfer,2953.172904,Savings Account,Student,Madrid,40.4168,-3.7038,Online,EUR,0,0,0,833,4794.28,Middle Income Segment,Mid-tier Savings Booster
115,2484,2024-03-02 00:00:00,Transfer,1990.238246,Loan,Business,Bilbao,43.263,-2.935,Online,USD,0,92.5,0,596,8697.73,High Income Segment,Premium Investment Services
116,8858,2024-12-01 00:00:00,Withdrawal,7655.499366,Checking Account,Student,Barcelona,41.3874,2.1686,Branch,EUR,0,0,0,815,7309.18,High Income Segment,Premium Investment Services
117,1863,2024-02-21 00:00:00,Fee,1299.1361,Savings Account,Platinum,Malaga,36.7213,-4.4214,Online,EUR,0,0,0,692,2667.94,Low Income Segment,No-Fee Basic Account
118,3790,2025-04-11 00:00:00,Card Payment,8645.792312,Loan,Platinum,Malaga,36.7213,-4.4214,Branch,EUR,0,14.09,0,499,3312.59,Middle Income Segment,Personal Loan Cashback Offer
119,8408,2024-05-17 00:00:00,Withdrawal,9780.136306,Mortgage,Business,Madrid,40.4168,-3.7038,ATM,EUR,0,0,0,392,1029.97,Low Income Segment,Financial Literacy Program Access
120,9755,2024-05-16 00:00:00,Fee,6765.326824,Credit Card,Student,Murcia,37.9847,-1.1287,ATM,EUR,6.49,0,0,830,1922.64,Low Income Segment,Financial Literacy Program Access
121,6116,2024-06-20 00:00:00,Withdrawal,4211.480993,Credit Card,Business,Murcia,37.9847,-1.1287,Branch,EUR,44.83,0,0,788,8374.37,High Income Segment,Exclusive Platinum Package
122,7019,2023-06-25 00:00:00,Fee,736.1105179,Credit Card,Platinum,Seville,37.3891,-5.9845,Mobile,EUR,43.19,0,0,615,1529.48,Low Income Segment,Financial Literacy Program Access
123,2757,2023-06-11 00:00:00,Card Payment,12168.41381,Loan,Student,Barcelona,41.3874,2.1686,Branch,USD,0,31.24,0,624,7398.72,High Income Segment,Premium Investment Services
124,8574,2023-04-25 00:00:00,Deposit,2865.759079,Mortgage,Platinum,Seville,37.3891,-5.9845,Mobile,EUR,0,0,0,594,5564.59,Middle Income Segment,Mid-tier Savings Booster
125,7374,2024-04-21 00:00:00,Fee,11472.19976,Mortgage,Student,Madrid,40.4168,-3.7038,Mobile,EUR,0,0,0,601,5738.93,Middle Income Segment,Mid-tier Savings Booster
126,7892,2023-04-12 00:00:00,Card Payment,2062.683789,Mortgage,Gold,Zaragoza,41.6488,-0.8891,Mobile,USD,0,0,0,750,8599.04,High Income Segment,Exclusive Platinum Package
127,2678,2024-12-12 00:00:00,Withdrawal,1406.214855,Savings Account,Business,Malaga,36.7213,-4.4214,ATM,EUR,0,0,0,452,7403.54,High Income Segment,Premium Investment Services
128,4242,2023-11-26 00:00:00,Transfer,6957.247916,Loan,Student,Seville,37.3891,-5.9845,Online,EUR,0,34.39,0,430,4811.89,Middle Income Segment,Personal Loan Cashback Offer
129,5636,2023-02-03 00:00:00,Loan Payment,3228.769229,Checking Account,Student,Malaga,36.7213,-4.4214,Mobile,EUR,0,0,143.26,408,9294.06,High Income Segment,Premium Investment Services
130,2059,2023-09-11 00:00:00,Card Payment,4780.10097,Savings Account,Gold,Valencia,39.4699,-0.3763,Mobile,EUR,0,0,0,302,6929.65,Middle Income Segment,Mid-tier Savings Booster
131,7668,2024-03-04 00:00:00,Card Payment,10527.10142,Loan,Standard,Murcia,37.9847,-1.1287,Online,EUR,0,52.52,0,532,5830.5,Middle Income Segment,Personal Loan Cashback Offer
132,4157,2023-11-28 00:00:00,Card Payment,13735.76412,Mortgage,Gold,Barcelona,41.3874,2.1686,ATM,EUR,0,0,0,562,9346.26,High Income Segment,Exclusive Platinum Package
133,6915,2023-12-13 00:00:00,Fee,7959.612012,Loan,Student,Zaragoza,41.6488,-0.8891,Branch,EUR,0,31.59,0,559,7807.33,High Income Segment,Premium Investment Services
134,3693,2023-04-15 00:00:00,Fee,3273.465287,Mortgage,Standard,Zaragoza,41.6488,-0.8891,Branch,EUR,0,0,0,847,2947.44,Low Income Segment,Financial Literacy Program Access
135,4627,2023-08-07 00:00:00,Transfer,4046.96438,Checking Account,Platinum,Murcia,37.9847,-1.1287,ATM,EUR,0,0,0,596,3496,Middle Income Segment,Mid-tier Savings Booster
136,6450,2023-07-23 00:00:00,Deposit,11409.87344,Mortgage,Business,Zaragoza,41.6488,-0.8891,ATM,USD,0,0,0,344,5497.9,Middle Income Segment,Mid-tier Savings Booster
137,2663,2024-12-14 00:00:00,Withdrawal,327.4863082,Savings Account,Standard,Malaga,36.7213,-4.4214,ATM,EUR,0,0,0,667,1073.62,Low Income Segment,No-Fee Basic Account
138,6592,2023-04-28 00:00:00,Deposit,10718.51275,Loan,Platinum,Madrid,40.4168,-3.7038,Mobile,EUR,0,21.33,0,672,9733,High Income Segment,Premium Investment Services
139,8392,2023-11-06 00:00:00,Fee,6179.03632,Credit Card,Student,Madrid,40.4168,-3.7038,Online,EUR,31.01,0,0,388,6498.58,Middle Income Segment,Gold Card with Travel Benefits
140,2306,2023-10-07 00:00:00,Fee,10785.26926,Mortgage,Standard,Seville,37.3891,-5.9845,Branch,EUR,0,0,0,376,9448.96,High Income Segment,Exclusive Platinum Package
141,7776,2025-05-02 00:00:00,Card Payment,10349.49163,Mortgage,Gold,Seville,37.3891,-5.9845,ATM,EUR,0,0,0,551,8144.91,High Income Segment,Exclusive Platinum Package
